Name,Employees,Website,Turnover,Reg Number,EBITDA
Deans Computer Services Limited,43,Deansplc.co.uk,,01629574,
Gower Consultants Limited,8,Gowerconsultants.com,,01649529,
Relyon Digital Limited,18,Cresent.co.uk,,01658812,
Uplec Industries Limited,6,Uplec.co.uk,,01665166,
Innovation Software Ltd,7,Innovationsoftware.uk.com,,01670041,
Eurotec Distribution Limited,12,Media-resources.co.uk,,01675188,
Increase Computers Limited,17,Increase.co.uk,,01686691,
 Keyzone Computer Products Limited Keyzone.com,10,Keyzone.com,,01687201,
Raven Computers Limited,17,Raven-computers.co.uk,,01695445,
Certes It Service Solutions Limited,19,Certes.co.uk,,01697294,
Redtitan Limited,8,Redtitan.co.uk,,01698238,
Magi-Cut Software Limited,14,Magi-cut.co.uk,,01698588,
Windowmaker Software Limited,8,Windowmaker.com,,01701233,
Techland Systems International Limited,8,Techland.co.uk,"£2,228,566 ",01704819,"£213,882 "
Clue Computing Company Limited,83,Clue.co.uk,"£7,266,000 ",01715616,"(£1,765,000)"
SSG Insight (Emea) Limited,50,Ssginsight.com,,01718131,
Speed Agency Limited,14,Speed.agency,,01721031,
Xuper Limited,61,Xuper.co.uk,,01722490,
Iansyst Limited,26,Dyslexic.com,,01723151,
Continental Limited,11,Continentalcomputers.co.uk,,01727463,
Pi Limited,43,Predictx.com,,01728605,
Professional Software Design Limited,29,Schoolcare.co.uk,,01729565,
KRCS Group Limited,47,Krcs.co.uk,"£23,311,000 ",01741640,"£171,000 "
Tech Op Solutions Limited,9,Techop.co.uk,"£937,699 ",01742451,"£79,494 "
Emos Information Systems Limited,12,Emos.com,,01743307,
Triad Trade Textiles Limited,7,Weloveyourbrand.co.uk,,01743627,
M.R.G. Systems Limited,18,Mrgsystems.co.uk,,01744016,
Syspro UK Limited,82,K3syspro.com,"£12,048,000 ",01748035,"£2,198,000 "
Software Imaging Limited,23,Softwareimaging.co.uk,,01755090,
K3 Software UK Limited,42,K3retail.com,"£5,529,000 ",01763900,"£1,299,000 "
City Computing Limited,7,Cclautomation.com,,01767817,
Beebug Limited,13,Beebug.co.uk,,01775753,
Advantage Business Systems Limited,30,Advantage.co.uk,,01778540,
Antar Information Technology Limited,6,Antar.co.uk,,01792081,
Technical Computer Services Limited,6,Tcs-ltd.net,,01795183,
Document Management Technology Limited,13,Doctech.co.uk,,01799296,
Ambrit Limited,15,Ambrit.co.uk,,01802610,
Evolution Systems Limited,9,Evolution-systems.co.uk,,01803342,
Esteem Systems Limited,25,Esteem.co.uk,"£3,596,000 ",01806531,"(£117,000)"
Datasharp UK Limited,42,Datasharp.co.uk,,01807741,
Zonegreen Limited,17,Zonegreen.co.uk,"£2,900,491 ",01811556,"£360,846 "
Fidget Limited,7,Fidget.co.uk,,01824648,
Interface Devices Ltd,9,Interface-devices.com,,01825474,
Syscomm Ltd,14,Syscomm.co.uk,,01826787,
Lighthouse Visual Communications Limited,6,Lvc.co.uk,,01829485,
K M P Associates Limited,46,Crownassociatesinternational.co.uk,,01830940,
Micro Minder Limited,41,Microminder.com,,01831793,
Data Installation & Supplies (Northern) Ltd,41,Disnetwork.co.uk,,01835753,
Forward Microsystems Limited,18,Formicro.co.uk,,01836276,
Cyberqube Limited,6,Cyberqube.co.uk,,01840463,
A.P.H. Computers Limited,26,Aphcomputers.co.uk,,01850989,
Aspin Management Systems Limited,43,Aspin.co.uk,,01856515,
K.M.H. Communications Limited,31,Kmhgroup.com,,01861024,
Fintilect Limited,32,Intelligentenvironments.com,,01862322,
Hitec (Laboratories) Ltd,14,Mitratech.com,"£7,765,000 ",01863022,"£2,016,000 "
KBR (Keeping Business Running) Limited,11,Kbr.co.uk,,01866581,
Timewade Limited,24,Timewade.com,,01866704,
Astro Communications Limited,39,Astro.co.uk,,01869439,
Cognisoft Limited,24,Cognisoft.co.uk,,01870101,
Severnsoft Limited,19,Essential.co.uk,,01870663,
Aindale Business Management Services Limited,46,Aindale.co.uk,,01871557,
Fis Energy Solutions Limited,6,Sungard.com,"£7,159,000 ",01889028,"£1,679,000 "
Geddes Business Systems Limited,8,Geddes-systems.co.uk,,01889967,
Mentor Business Systems Limited,18,Mentorbs.com,"£2,110,000 ",01892391,"£1,206,000 "
Triangle Information Management Limited,13,Triangleinformationmanagement.com,,01896503,
Maximizer Software Limited,6,Maximizer.com,,01896712,
Cadcam Technology Limited,10,Cct-uk.com,,01901091,
K A I Computer Services Limited,31,Kaiuk.co.uk,,01906537,
Gardner Systems Limited,10,Gardnersystems.co.uk,,01908197,
SSG Insight Technologies Limited,10,Ss-limited.com,,01920946,
Genesis Business Systems Limited,15,Genesisit.co.uk,,01923854,
Imprint Business Systems Limited,6,Imprint-mis.co.uk,,01925981,
Dayta Designs Limited,16,Dayta.co.uk,,01932302,
Concorde Technology Group Limited,31,Concordeitgroup.com,,01935856,
Cantel Computer Services Limited,22,Cantel.uk.com,,01940170,
Sopheon UK Limited,21,Sopheon.com,"£2,982,397 ",01940849,"(£1,278,335)"
Terence James Systems Limited,10,Tjsystems.co.uk,,01941071,
Red Evolution Ltd,9,Redevolution.com,,01947860,
Kinspeed Limited,38,Kinspeed.com,,01949563,
SQC Technology Limited,6,Sqc.co.uk,,01949728,
Linkfresh Software Limited,12,Linkfresh.com,,01950612,
Murphy Varley Limited,8,Mvad.co.uk,,01954260,
Hyperion Systems Limited,27,Chyp.com,,01955749,
Cadcorp Limited,33,Cadcorp.com,,01955756,
Compatibility Limited,14,Cpat.co.uk,,01964830,
Cognitive Applications Limited,19,Cogapp.com,,01967601,
CBC Computer Systems Limited,15,Cbccomputers.com,,01973600,
Autodata Products Limited,24,Autodata.co.uk,,01974010,
Planglow Limited,30,Planglow.co.uk,,01975062,
Avco Systems Limited,50,Avcosystems.com,"£5,362,000 ",01976620,"£1,286,000 "
Digital Space Managed Services Limited,49,Atos.net,"£12,159,000 ",01980455,"£2,310,000 "
Clear Thinking (Software) Limited,10,Clearthinkingsoftware.co.uk,,01985278,
Trial Systems Limited,7,Trial-systems.co.uk,,01994310,
NCB Hazcheck Limited,30,Existec.com,,01997397,
Honeylight Computers Limited,9,Honeylight.co.uk,,01997581,
Advanced New Technology Limited,8,A-n-t.com,,01998874,
Quantios (UK) Limited,62,Microgen.com,"£9,225,000 ",02001329,"£1,300,000 "
Harlequin Software Limited,9,Harlequinsoftware.co.uk,,02012615,
Checkland Kindleysides Limited,19,Checklandkindleysides.com,,02012831,
2DB Limited,8,2db.com,,02016131,
Swallow Technology Limited,8,Swallowtech.com,,02016850,
Imperial Civil Enforcement Solutions Limited,79,Imperial.co.uk,"£13,448,000 ",02023383,"£3,452,000 "
Andrews Computer Services Limited,8,Andrews-computers.com,,02027301,
Quest Information Systems Limited,13,Dictatenow.com,,02028133,
Cobwebb Communications Limited,20,Cobwebb.com,,02029183,
MSC.Software Limited,23,Web.mscsoftware.com,"£4,323,967 ",02033042,"£555,919 "
Dorydale Limited,6,Coopsys.net,,02042907,
 Hampshire Business Computers Limited Hampshirebusiness.co.uk,20,Hampshirebusiness.co.uk,,02050982,
Perle Systems Europe Limited,6,Cn.perle.com,,02058845,
Southern Electronic Services Limited,15,Sescomputers.com,,02065241,
Mobyte Limited,8,Mobyte.com,,02075641,
Funasset Limited,14,Funasset.com,,02078429,
Eclipse Computing Limited,9,Eclipsecomputing.co.uk,,02093269,
Updata Limited,7,Updata.co.uk,,02095011,
Minster Micro Computers Limited,22,Minstermicro.co.uk,,02095504,
Action Circuits (U.K.) Limited,35,Actioncircuits.com,,02096524,
International Financial Systems Ltd,8,Banking-software.com,,02098378,
Applications In Cadd Ltd,10,Appsincadd.co.uk,,02098396,
Crealogix Mba Limited,20,Mbasys.co.uk,,02105579,
Time Systems (UK) Limited,17,Timesystemsuk.com,,02110018,
Restranaut Limited,11,Thinking-software.com,,02110245,
Stulz U.K. Limited,51,Stulz.co.uk,"£13,606,000 ",02113767,"£899,000 "
PXP Solutions Limited,30,Pxp-solutions.com,"£4,141,108 ",02117319,"£415,862 "
Addept Computer Services Limited,7,Addept.com,,02118274,
Ashdown Consultant Engineers Ltd,12,Ashdownav.com,,02119811,
Commonside Management Services Limited,8,Commonside.ws,"£102,460 ",02120059,"(£22,367)"
Ferret Information Systems Limited,7,Ferret.co.uk,,02126033,
Russell Adams Limited,19,Rusada.com,,02127544,
Lindy Electronics Limited,37,Lindy.co.uk,,02132710,
The Open Group Limited,30,Opengroup.org,"£4,245,000 ",02134862,"£487,000 "
Fairline Distribution Limited,10,Fairline.co.uk,,02136247,
Asolvi UK Limited,71,Tesseract.co.uk,"£9,586,472 ",02136682,"£1,420,907 "
X.Communications Limited,14,Xcomm.co.uk,,02139995,
Paradise Computing Limited,20,Paradisecomputing.co.uk,,02150138,
Structured Software Systems Limited,12,Threesl.com,,02153654,
Data Technology Limited,19,Datatechnology.co.uk,,02154023,
Pixel Power Limited,45,Pixelpower.com,"£5,228,284 ",02154212,"£890,974 "
Allies Computing Limited,18,Alliescomputing.com,,02170222,
RSMB Limited,43,Rsmb.co.uk,,02173860,
Cyberscience Corporation Limited,6,Cyberscience.com,,02175510,
Data Systems (Computers) Limited,10,Datasystemsltd.co.uk,,02179329,
Disking International Limited,16,Disking.co.uk,,02180151,
Energy Metering Technology Limited,10,Energymeteringtechnology.com,"£584,805 ",02180497,"£1,983 "
Modulus Management Consultancy Limited,19,Modulus-ltd.org,,02181500,
Black Box Network Services (UK) Limited,56,Blackbox.co.uk,"£10,012,000 ",02182174,"(£1,406,000)"
London Central Communications Limited,7,Lcc.co.uk,,02184289,
OCM Business Systems Limited,23,Ocmbiz.com,,02185809,
Software Generation Ltd,6,Sgtoday.com,"£838,708 ",02198424,"£69,736 "
Cobalt Sky Limited,21,Cobalt-sky.com,,02201006,
Intec Systems Limited,14,Intecsystems.me,,02202414,
Synthesys Defence Systems (SDS) Limited,7,Synthesys.co.uk,,02204802,
Perrywell Computer Systems Limited,7,Perrywell.co.uk,,02205514,
Pixid Limited,11,Int-corp.com,,02207340,
Ethical Technology Limited,21,Ethitec.com,,02208213,
Siteeye Timelapse Limited,17,Site-eye.co.uk,,02209455,
Solid State Computing Limited,7,Synergy-uk.com,,02218358,
Applied Consultants Limited,7,Appliedseismology.com,,02218746,
Medical Information Technology UK Ltd,50,Meditech-uk.com,"£14,962,000 ",02220263,"£2,170,000 "
P.S. Computer Services Limited,9,Parkershaw.co.uk,,02221362,
Saa Consultants Limited,21,Saaconsultants.com,,02221664,
B C Computing Limited,10,Bccgroup-uk.com,,02230816,
Electronic Reading Systems Limited,17,Ers-online.co.uk,,02233595,
Data Design Services Limited,7,Accuramis.com,,02233967,
E C Computers Limited,9,Eccomputers.co.uk,,02234380,
Cunning Running Software Limited,10,Cunningrunning.co.uk,,02236737,
Cara Technology Limited,40,Cara-online.com,,02242098,
Computer Monitoring And Control Limited,7,Cl-group.com,,02243609,
Quasar Computers Limited,17,D-p-systems.com,,02252004,
Salford Software Limited,46,Salfordsoftware.co.uk,"£85,766 ",02252625,"(£268,995)"
The Pyramid Angle Limited,9,Designwildwest.com,,02254429,
R & A Software (Systems) Limited,31,Ra-is.co.uk,,02254852,
Advance Computer Centre Limited,7,Accldn.biz,,02256342,
HBP Systems Limited,6,Hbpsystems.co.uk,,02263783,
Futera Limited,22,Unitedbusinessgroup.co.uk,,02271937,
Multithread Consultants Limited,13,Multithread.co.uk,,02274702,
Koris365 North Limited,34,Sicl.co.uk,"£13,667,000 ",02276852,"£1,152,000 "
Hitex (UK) Limited,17,Hitex.co.uk,,02282162,
Extech Limited,18,Extech.co.uk,,02284776,
Compufile Systems Limited,22,Csl-uk.com,,02289762,
GPM Development Limited,11,Gpmdev.com,,02292156,
Nviron Limited,47,Nviron.co.uk,"£17,014,000 ",02294787,"£1,236,000 "
Damarel Systems International Limited,28,Damarel.com,,02307694,
Scientia Limited,8,Scientia.com,"£3,828,769 ",02309407,"(£415,193)"
Hellenic Systems Ltd,31,Hellenic.co.uk,,02316023,
Weald Computer Maintenance Limited,18,Wealdcomputers.com,"£2,682,003 ",02321033,"£251,900 "
TNP Administration Services Limited,13,Aimsoftware.co.uk,,02321807,
Logma Systems Design Limited,6,Sagebusinesscentre.co.uk,,02321865,
Westbase Technology Limited,39,Westbaseuk.com,,02328219,
Profile Technology Services Limited,13,Profile.co.uk,,02328351,
Verelogic Limited,12,Verelogicrecruitment.co.uk,,02328888,
Environmental Design Solutions Limited,6,Edsl.net,,02328946,
New Information Paradigms Limited,6,Nipltd.com,,02329007,
TXP Solutions Limited,37,Jumar-solutions.com,"£22,112,000 ",02333415,"£546,000 "
Advanced Expert Systems Limited,12,Aesgrp.com,,02341404,
Matchriver Analysis Limited,22,Gordonassociates.co.uk,,02342560,
Regnology Solutions UK Limited,23,Lombardrisk.com,"£13,530,000 ",02342639,"£3,567,000 "
AN4 Group Limited,8,An4group.com,"£11,502,000 ",02343606,"£163,000 "
Sota Solutions Limited,70,Sota.co.uk,"£10,779,000 ",02346249,"£527,000 "
Longrange Systems UK Ltd,13,Lrsuk.co.uk,,02346462,
Highlight (SLM) Limited,22,Highlight.net,,02347825,
Sheraton Systems Limited,71,Websure.com,"£10,440,000 ",02348058,"£1,321,000 "
Envitia Ltd,74,Envitia.com,"£10,736,000 ",02348404,"£1,303,000 "
Covenco Ltd,55,Covenco.co.uk,"£12,379,000 ",02351331,"£287,000 "
Insider Technologies Limited,16,Insidertech.co.uk,"£2,225,578 ",02352867,"£620,736 "
Onyx Business Systems Limited,18,Onyx-it.co.uk,,02358518,
Conker Cloud Innovations Limited,7,Logobrand.com,,02359270,
Kongsberg Norcontrol Limited,15,Kongsberg.com,"£20,339,000 ",02361227,"£3,201,000 "
 Computer Systems For Distribution Limited Csfd.com,16,Csfd.com,,02366219,
Wizard Computer Services Limited,7,Wizardcomputers.co.uk,,02369037,
Systems Axis Limited,38,Axisfirst.co.uk,,02370905,
Spectec Ltd,28,Spectec.net,"£4,706,295 ",02371124,"£69,716 "
Retail Computer Solutions Limited,19,Epossolutions.org,,02371786,
Kaika Tech Limited,8,Totel.co.uk,,02372217,
Human Computer Interaction (York) Limited,8,Hciyork.co.uk,,02372377,
Doublestruck Limited,42,Doublestruck.co.uk,"£6,151,019 ",02373295,"£1,423,049 "
ADVFN Limited,23,Advfn.com,"£4,441,000 ",02374988,"(£907,000)"
Future Generation Services Ltd,14,Bnol.co.uk,,02377902,
Catalyst Computer Systems Limited,24,Catalyst-uk.com,,02382593,
Theorem Solutions Limited,34,Theorem.co.uk,,02384114,
I.C.S. 1989 Limited,7,Icscomms.co.uk,,02393007,
Sinara Consultants Limited,42,Sinara.com,,02395902,
Eyedot (Europe) Limited,10,Eyedot.co.uk,,02400599,
E C S Computers Limited,16,Ecscomputers.co.uk,,02407523,
I.T. Associates Limited,20,Itassociates.co.uk,,02410406,
Sandhill Consultants Limited,11,Sandhillconsultants.com,,02411190,
Abbey ICT Ltd,13,Abbeytelecom.co.uk,,02412564,
Tutorpro Limited,15,Tutorpro.com,,02414786,
Ensign Advanced Systems Limited,20,Ensignonline.co.uk,,02415174,
DB Group Limited,15,Dbsolutionsgroup.co.uk,,02422056,
Open-Projects Limited,8,Openprojects.co.uk,,02422753,
Northface Connections Limited,6,Northface.co.uk,,02423569,
Formic Limited,6,Formic.com,,02424786,
Clarity Software Group Limited,30,Touchsystems.co.uk,,02430509,
Cis Oncology Limited,23,Cis-healthcare.com,,02431816,
Select Business Products Limited,8,Selectgroup.co.uk,,02436797,
Formpipe Software Limited,70,Efstechnology.com,"£7,953,975 ",02438041,"£968,273 "
P.T.R. Associates Limited,15,Ptr.co.uk,,02442290,
Readycrest Limited,12,Readycrest.co.uk,,02444789,
BVR Limited,18,Bvrgroup.com,,02445185,
Option Systems Limited,19,Styleman.com,,02446995,
ACS-Apt Computer Systems Limited,9,Acs-apt.com,,02447522,
PCM Systems Limited,6,Pcmsystems.co.uk,,02452375,
MFP Technology Services (UK) Ltd,7,Mfptech.com,,02453476,
Public Sector Software Limited,10,Pssltd.co.uk,,02453664,
St. Clements Services Limited,33,St-clements.co.uk,"£7,545,035 ",02455347,"£589,966 "
Price Systems Limited,12,Pricesystems.com,,02457428,
A Bet A Technology Limited,13,Abeta.co.uk,,02458671,
Red Scientific Reply Limited,37,Red-scientific.co.uk,,02462121,
M.J.M.Data Capture Limited,8,Mjm-data.co.uk,,02462164,
Bar Code Data Limited,26,Barcodedata.co.uk,,02463305,
Resman Limited,8,Resman.co.uk,,02463322,
Pericom Limited,11,Pericom.co.uk,,02463807,
Bodoni Systems Limited,9,Bodoni.co.uk,,02467939,
DPSS Cabling Services Limited,22,Dpsscabling.co.uk,,02468021,
Tidey Electrical Limited,14,Tideyelectrical.org.uk,,02471484,
Interactive Transaction Solutions Limited,19,Interactivets.com,,02473364,
Datalinx Computer Systems Limited,18,Datalinx.co.uk,,02478100,
Figtree Systems Europe Limited,6,Nttdata.com,"£1,933,140 ",02481984,"£122,877 "
Bodet Time Limited,10,Bodet.co.uk,,02485024,
Novaco Limited,7,Novaco.co.uk,,02486168,
Descomp Ltd,6,Des.eu,,02486954,
Computer & Communications Co. Limited,9,Lookoutcall.co.uk,,02488641,
Cpio Limited,62,Cpio.co.uk,"£7,284,866 ",02488682,"£526,166 "
Data Pacific Limited,8,Datapacific.com,,02493405,
Eurostop Limited,47,Eurostop.co.uk,"£4,233,475 ",02495589,"£787,895 "
Westwood Forster Limited,11,Westwood-forster.co.uk,,02498714,
Sirsi Limited,32,Sirsidynix.com,,02498901,
Techwyse Limited,19,Sfax.co.uk,,02500412,
Comset Limited,6,S573922568.initial-website.co.uk,,02500519,
Creative Computing Solutions Limited,17,Creative-computing.co.uk,,02503670,
Drilling Systems (U.K.) Limited,34,Drillingsystems.com,"£9,402,000 ",02509111,"£5,430,000 "
Right Digital Solutions Limited,84,Capita.co.uk,"£13,210,000 ",02511140,"£1,973,000 "
Edp Europe Limited,18,Edpeurope.com,,02513371,
Syscom Group Limited,28,Syscom.plc.uk,"£1,894,101 ",02513529,"£61,614 "
CMS Group Limited,34,Cms-group.net,,02513535,
Hands-On Computer Solutions Ltd,10,Handsoncomputers.co.uk,,02516567,
Newsco Software Limited,7,Newsco-software.co.uk,,02516743,
Cmac Computer Systems Limited,12,Donorflex.com,,02518659,
Cac Europe Limited,16,Caceurope.com,,02518726,
Econocom Products & Solutions UK Limited,37,Trams.co.uk,"£50,608,000 ",02518864,"£224,000 "
Jfa Systems Limited,6,Jfasystems.co.uk,,02519071,
Monarch Software Systems Limited,46,Monarchsoftware.com,,02520603,
Comms. UK Limited,26,Comms.uk.com,,02525905,
Neural Technologies Limited,8,Neuralt.com,"£5,129,000 ",02527794,"£2,052,000 "
Deltaxml Limited,26,Deltaxml.com,,02528681,
Specialist Data Solutions Ltd,17,Specialistdata.com,,02531671,
Azura Group Ltd,17,Azuragroup.com,"£808,000 ",02531777,"(£36,000)"
Production Software Technology Limited,7,Pstonline.co.uk,,02532559,
Crest Software Limited,9,Crestsoftware.co.uk,,02533074,
T S Electronics Limited,24,Tsepower.co.uk,,02533680,
Customers International Limited,25,Hdi-europe.com,,02535318,
Europa Technologies Ltd,7,Europa.uk.com,"£2,517,467 ",02535338,"£624,493 "
ARC Software Consultancy Limited,6,Arcsoftwareconsultancy.com,,02537923,
Codegate Limited,28,Codegate.co.uk,,02538344,
RMG Networks Limited,9,Rmgnetworks.com,,02542776,
Contiem Limited,24,Mekon.com,,02545311,
Trailight Ltd,41,Trailight.co.uk,,02545823,
Ryland Technology Limited,11,Ryltech.com,,02548741,
Esp Leisure Limited,21,E-s-p.com,,02550976,
Abaca Systems Limited,18,Abaca.co.uk,,02551115,
Applied Industrial Systems Limited,25,Applied.co.uk,,02552260,
Infomedia Services Limited,18,Infomedia.co.uk,,02553993,
Monomax Limited,28,Squaremeal.co.uk,,02554719,
Ergo Computing UK Limited,21,Ergo.co.uk,,02555928,
LMP Technical Services Limited,16,Lmp.co.uk,,02557790,
Premier Systems Ltd,11,Premiersystems.ltd.uk,,02558800,
Business I.T. Systems Limited,7,Bits.uk.com,,02563646,
 Norbeck Limited Norbeck.co.uk,14,Norbeck.co.uk,,02564725,
Imex Data Communications Limited,7,Imexdata.co.uk,,02565877,
Future-Tech S.C.I. Limited,44,Future-tech.co.uk,,02567648,
Sherwen Studios Limited,11,Sherwen.com,,02571220,
"Dentsu Soken UK, Ltd",25,Hentsu.com,,02575108,
Amethyst Associates Limited,7,Amethystassociates.co.uk,,02577944,
Datamex Ltd,24,Datamex.co.uk,,02579164,
Adflex Limited,16,Adflex.co.uk,,02579576,
Globe Microsystems Limited,6,Bonitas.co.uk,,02581610,
Visual Response Limited,23,Visualresponse.com,"£15,174,000 ",02582013,"£1,632,000 "
Headstrong (UK) Limited,45,Headstronguk.com,"£5,621,000 ",02582346,"(£135,000)"
Sai360 Limited,45,Saiglobal.com,"£10,527,000 ",02583952,"£2,199,000 "
Real-Time Consultants Limited,25,Trs.resourcegroup.co.uk,,02587032,
Total Computer & Network Support (TCNS) Ltd,12,Tcns.it,,02588726,
Tectrade Computers Limited,38,Tectrade.com,"£1,182,044 ",02589951,"(£650,837)"
Lumi AGM UK Limited,16,Iml-inc.com,"£4,071,837 ",02592239,"£834,540 "
SCG Midlands Limited,27,Mpsplc.co.uk,,02594861,
Wind River UK Limited,33,Windriver.com,"£7,485,107 ",02596261,"£337,234 "
